id,scores_available,title,question_set,date,location
31488,1,"Квиз, плиз! SPB",412,"25 сентября/Суббота, 16:00",Puberty
31486,1,"Квиз, плиз! SPB",412,"24 сентября/Пятница, 19:30",Rossi's Club
31485,1,"Квиз, плиз! SPB",411,"23 сентября/Четверг, 19:30",Ресторан ParkKing
31484,1,"Квиз, плиз! SPB",411,"22 сентября/Среда, 19:30",Puberty
31274,0,"Квиз, плиз! SPB",410,"21 сентября/Вторник, 19:30",Ресторан ParkKing
31500,1,"Квиз, плиз! [стрим] SPB",167,"18 сентября/Суббота, 20:00","Везде, где есть интернет"
31271,1,"Квиз, плиз! SPB",410,"18 сентября/Суббота, 17:00",Rossi's Club
31270,1,[новички] SPB,409,"18 сентября/Суббота, 16:00",Puberty
31498,1,"Квиз, плиз! [стрим] SPB",166,"17 сентября/Пятница, 20:00","Везде, где есть интернет"
31269,1,"Квиз, плиз! SPB",408,"17 сентября/Пятница, 19:30",Rossi's Club
31259,1,"Квиз, плиз! SPB",408,"16 сентября/Четверг, 19:30",Puberty
31260,1,"Квиз, плиз! SPB",409,"16 сентября/Четверг, 19:30",Дворец Олимпия
31062,1,"Квиз, плиз! SPB",407,"14 сентября/Вторник, 19:30",Ресторан ParkKing
31048,1,"Квиз, плиз! SPB",407,"12 сентября/Воскресенье, 16:00",Puberty
31278,1,"Квиз, плиз! [стрим] SPB",165,"11 сентября/Суббота, 20:00","Везде, где есть интернет"
31047,1,"Квиз, плиз! SPB",406,"11 сентября/Суббота, 17:00",Rossi's Club
31044,1,"Квиз, плиз! SPB",406,"10 сентября/Пятница, 19:30",Rossi's Club
31045,1,"Квиз, плиз! [сюрприз] SPB",3,"10 сентября/Пятница, 19:30",Дворец Олимпия
31043,1,"Квиз, плиз! SPB",405,"9 сентября/Четверг, 19:30",Дворец Олимпия
31041,1,"Квиз, плиз! SPB",405,"8 сентября/Среда, 19:30",Puberty
30854,1,"Квиз, плиз! SPB",404,"7 сентября/Вторник, 19:30",Ресторан ParkKing
30853,1,"Квиз, плиз! SPB",403,"5 сентября/Воскресенье, 16:00",Puberty
30852,1,"Квиз, плиз! SPB",404,"4 сентября/Суббота, 17:00",Rossi's Club
30850,1,"Квиз, плиз! SPB",403,"4 сентября/Суббота, 16:00",Puberty
31049,1,"Квиз, плиз! [стрим] SPB",164,"3 сентября/Пятница, 20:00","Везде, где есть интернет"
30849,1,[новички] SPB,402,"3 сентября/Пятница, 19:30",Дворец Олимпия
30847,0,"Квиз, плиз! SPB",402,"3 сентября/Пятница, 19:30",Rossi's Club
30655,1,"Квиз, плиз! SPB",401,"29 августа/Воскресенье, 16:00",Puberty
30859,1,"Квиз, плиз! [стрим] SPB",163,"28 августа/Суббота, 20:00","Везде, где есть интернет"
30653,1,"Квиз, плиз! SPB",401,"28 августа/Суббота, 16:00",Puberty
30858,1,"Квиз, плиз! [стрим] SPB",162,"27 августа/Пятница, 20:00","Везде, где есть интернет"
30652,1,"Квиз, плиз! SPB",400,"27 августа/Пятница, 19:30",Rossi's Club
30651,1,"Квиз, плиз! [железные яйца] SPB",2,"26 августа/Четверг, 19:30",Puberty
30650,1,"Квиз, плиз! SPB",400,"25 августа/Среда, 19:30",Rossi's Club
30455,1,"Квиз, плиз! SPB",399,"24 августа/Вторник, 19:30",Ресторан ParkKing
30452,1,"Квиз, плиз! SPB",398,"21 августа/Суббота, 16:00",Puberty
30656,1,"Квиз, плиз! [стрим] SPB",161,"20 августа/Пятница, 20:00","Везде, где есть интернет"
30450,1,"Квиз, плиз! SPB",398,"20 августа/Пятница, 19:30",Ресторан ParkKing
30451,1,"Квиз, плиз! SPB",399,"20 августа/Пятница, 19:30",Дворец Олимпия
30449,1,"Квиз, плиз! SPB",397,"19 августа/Четверг, 19:30",Puberty
30447,1,"Квиз, плиз! SPB",397,"18 августа/Среда, 19:30",Rossi's Club
30257,0,"Квиз, плиз! SPB",396,"17 августа/Вторник, 19:30",Ресторан ParkKing
30246,1,"Квиз, плиз! SPB",395,"15 августа/Воскресенье, 16:00",Puberty
30255,1,"Квиз, плиз! SPB",396,"14 августа/Суббота, 18:00",Дворец Олимпия
30460,1,"Квиз, плиз! [стрим] SPB",160,"13 августа/Пятница, 20:00","Везде, где есть интернет"
30244,1,"Квиз, плиз! SPB",395,"13 августа/Пятница, 19:30",Rossi's Club
30242,1,"Квиз, плиз! SPB",394,"11 августа/Среда, 19:30",Rossi's Club
30241,1,"Квиз, плиз! SPB",394,"10 августа/Вторник, 19:30",Ресторан ParkKing
30073,1,"Квиз, плиз! SPB",393,"8 августа/Воскресенье, 16:00",Puberty
30239,1,"Квиз, плиз! [стрим] SPB",159,"6 августа/Пятница, 20:00","Везде, где есть интернет"
30074,1,"Квиз, плиз! SPB",393,"6 августа/Пятница, 19:30",Дворец Олимпия
29992,1,[новички] SPB,392,"5 августа/Четверг, 19:30",Rossi's Club
29993,1,"Квиз, плиз! SPB",392,"4 августа/Среда, 19:30",Rossi's Club
29860,1,"Квиз, плиз! SPB",391,"1 августа/Воскресенье, 16:00",Puberty
30076,1,"Квиз, плиз! [стрим] SPB",158,"31 июля/Суббота, 20:00","Везде, где есть интернет"
30075,1,"Квиз, плиз! [стрим] SPB",157,"30 июля/Пятница, 20:00","Везде, где есть интернет"
29858,1,"Квиз, плиз! SPB",391,"30 июля/Пятница, 19:30",Rossi's Club
29661,1,"Квиз, плиз! SPB",390,"27 июля/Вторник, 19:30",Grand Bianco
29840,1,"Квиз, плиз! [стрим] SPB",156,"25 июля/Воскресенье, 18:00","Везде, где есть интернет"
29660,1,"Квиз, плиз! SPB",390,"25 июля/Воскресенье, 16:00",Puberty
29658,1,"Квиз, плиз! SPB",389,"24 июля/Суббота, 17:00",Rossi's Club
29839,1,"Квиз, плиз! [стрим] SPB",155,"23 июля/Пятница, 20:00","Везде, где есть интернет"
29656,1,"Квиз, плиз! SPB",388,"23 июля/Пятница, 19:30",Rossi's Club
29654,1,"Квиз, плиз! SPB",389,"22 июля/Четверг, 19:30",Grand Bianco
29651,1,"Квиз, плиз! SPB",388,"20 июля/Вторник, 19:30",Grand Bianco
29605,1,"Квиз, плиз! [стрим] SPB",154,"18 июля/Воскресенье, 18:00","Везде, где есть интернет"
29460,1,"Квиз, плиз! SPB",387,"18 июля/Воскресенье, 16:00",Puberty
29458,0,"Квиз, плиз! SPB",387,"17 июля/Суббота, 16:00",Rossi's Club
29603,1,"Квиз, плиз! [стрим] SPB",153,"16 июля/Пятница, 20:00","Везде, где есть интернет"
29457,1,"Квиз, плиз! SPB",386,"16 июля/Пятница, 19:30",Rossi's Club
29455,1,"Квиз, плиз! SPB",386,"14 июля/Среда, 19:30",Grand Bianco
29272,1,"Квиз, плиз! SPB",385,"13 июля/Вторник, 19:30",Grand Bianco
29271,1,"Квиз, плиз! SPB",385,"11 июля/Воскресенье, 18:00",Grand Bianco
29463,1,"Квиз, плиз! [стрим] SPB",152,"11 июля/Воскресенье, 18:00","Везде, где есть интернет"
29269,1,"Квиз, плиз! SPB",384,"10 июля/Суббота, 16:00",Puberty
29461,1,"Квиз, плиз! [стрим] SPB",151,"9 июля/Пятница, 20:00","Везде, где есть интернет"
